  98.9579     39.484
   99.058    40.7714
  99.1581    42.0581
  99.2582    43.3448
  99.3583    44.6316
  99.4584    45.9191
  99.5585    47.2057
  99.6586    48.4929
  99.7587    49.7798
  99.8588    51.0665
  99.9589    52.3537
  100.059    53.6406
  100.159    54.9279
  100.259    56.2143
  100.359     57.501
  100.459    58.7876
  100.559    60.0747
  101.086     60.916
  102.376    60.9588
  103.666    61.0015
  104.956    61.0442
  106.246    61.0869
  107.537    61.1296
  108.827    61.1724
  110.117     61.215
  111.407    61.2578
  112.697    61.3005
  113.988    61.3432
  115.278     61.386
  116.568    61.4287
  117.858    61.4714
  119.149    61.5141
  120.439    61.5568
  121.728    61.5995
  123.019    61.6423
  124.309     61.685
    125.6    61.7278
   126.89    61.7705
  128.179    61.8131
  129.469    61.8558
   130.76    61.8986
  132.049    61.9413
  133.339     61.984
  133.859     61.295
  133.751    60.0086
  133.643    58.7217
  133.535    57.4356
  133.426    56.1491
  133.318    54.8632
   133.21     53.577
  133.102    52.2908
  132.994     51.004
  132.886    49.7179
  132.778    48.4321
   132.67    47.1457
  132.562      45.86
  132.454     44.574
  132.346     43.287
  132.238    42.0009
   132.13    40.7146
  132.022    39.4293
  131.913    38.1429
  131.805    36.8567
  131.697    35.5696
  131.589    34.2838
  131.481    32.9971
  131.373    31.7103
  131.265    30.4239
  131.157    29.1378
  131.049    27.8525
  130.941     26.566
  130.833     25.279
  130.725    23.9929
  130.616    22.7068
  130.508    21.4209
    130.4    20.1341
  130.292    18.8483
  130.184     17.563
  130.076    16.2764
  129.968      14.99
   129.86     13.703
  129.752    12.4171
  129.644    11.1296
  129.536    9.84316
  129.427    8.55705
  129.319    7.27098
  129.211    5.98496
  129.103    4.69845
  128.995    3.41173
  128.887    2.12567
  128.779    0.83972
  128.671  _0.446321
  128.563   _1.73281
  128.455   _3.01877
  128.347   _4.30496
  128.239   _5.59077
  128.131   _6.87713
  128.023   _8.16354
  127.914    _9.4497
  127.806    _10.736
  127.698   _12.0223
   127.59   _13.3088
  127.482    _14.595
  127.374   _15.8807
  127.266   _17.1663
  127.158   _18.4533
  128.142   _18.6115
  129.424    _18.462
  130.706   _18.3124
  131.988   _18.1628
   133.27   _18.0132
  134.552   _17.8636
  135.834   _17.7141
  137.117   _17.5645
  138.399   _17.4148
  139.681   _17.2652
  140.963   _17.1157
  142.245   _16.9661
  143.528   _16.8165
  144.809   _16.6669
  146.091   _16.5174
  147.373   _16.3678
  148.655   _16.2182
  149.937   _16.0686
  151.219    _15.919
  152.501   _15.7695
  153.784   _15.6199
  155.066   _15.4702
  156.349   _15.3206
   157.63   _15.1711
  158.912   _15.0215
  160.195   _14.8718
  161.476   _14.7223
  162.759   _14.5727
   164.04   _14.4232
  165.323   _14.2736
  166.605    _14.124
  167.887   _13.9744
  169.169   _13.8248
  170.451   _13.6752
  171.733   _13.5257
  173.015   _13.3761
  174.296   _13.2266
  175.578   _13.0771
  176.861   _12.9274
  178.142   _12.7779
  179.425   _12.6282
  180.706   _12.4787
  181.989   _12.3291
  183.271   _12.1795
  184.553   _12.0299
  185.835   _11.8804
  187.117   _11.7308
  188.399   _11.5812
  189.681   _11.4316
  190.963    _11.282
  192.245   _11.1324
  193.528   _10.9827
   194.81   _10.8332
  196.092   _10.6836
  197.374   _10.5341
  198.656   _10.3845
  199.938   _10.2349
   201.22   _10.0853
  202.502   _9.93572
  202.488   _9.93732
  201.206    _10.087
  199.924   _10.2365
  198.642   _10.3861
   197.36   _10.5356
  196.077   _10.6852
  194.795   _10.8348
  193.513   _10.9843
  192.231   _11.1339
   190.95   _11.2834
  189.667    _11.433
  188.385   _11.5825
  187.104   _11.7321
  185.821   _11.8817
  184.539   _12.0312
  183.257   _12.1808
  181.975   _12.3303
  180.693   _12.4799
  179.411   _12.6294
  178.129   _12.7791
  176.846   _12.9286
  175.564   _13.0782
  174.283   _13.2277
      173   _13.3774
  171.718   _13.5269
  170.436   _13.6764
  169.154    _13.826
  167.872   _13.9756
   166.59   _14.1251
  165.308   _14.2747
  164.026   _14.4242
  162.744   _14.5738
  161.462   _14.7234
  160.179    _14.873
  158.897   _15.0225
  157.615   _15.1721
  156.333   _15.3217
  155.051   _15.4713
  153.769   _15.6208
  152.487   _15.7704
  151.204     _15.92
  149.922   _16.0696
   148.64   _16.2191
  147.358   _16.3687
  146.076   _16.5183
  144.793   _16.6679
  143.511   _16.8174
  142.229    _16.967
  140.947   _17.1166
  139.665   _17.2662
  138.383   _17.4157
  137.101   _17.5652
  135.819   _17.7148
  134.536   _17.8644
  133.254    _18.014
  131.972   _18.1635
  130.691   _18.3131
  129.408   _18.4626
  128.126   _18.6123
  127.069   _19.0277
  126.707   _20.2667
  126.345   _21.5055
  125.983   _22.7451
  125.621    _23.984
  125.259   _25.2229
  124.897   _26.4618
  124.535    _27.701
  124.173     _28.94
  123.811   _30.1789
  123.449   _31.4177
  124.555    _31.419
  125.838   _31.2699
   127.12   _31.1183
  128.402   _30.9625
  129.682   _30.7942
  129.912   _31.7899
  129.766   _33.0724
  129.555   _34.3458
  129.295   _35.6098
  128.996   _36.8661
  128.662   _38.1125
  128.297   _39.3506
  127.905   _40.5804
  127.487   _41.8016
  127.045   _43.0149
  126.582   _44.2195
  126.098   _45.4162
  125.595    _46.605
  125.074   _47.7862
  124.536   _48.9594
  123.982   _50.1244
  123.412   _51.2824
  122.827   _52.4338
  122.228   _53.5775
  121.616   _54.7141
  120.992   _55.8432
  120.354   _56.9655
  119.705   _58.0816
  119.045   _59.1904
  118.373   _60.2923
   117.69   _61.3871
  116.995   _62.4746
  116.287   _63.5538
  115.566   _64.6246
  114.832   _65.6863
  114.085   _66.7388
  113.324   _67.7813
  112.548   _68.8126
  111.758   _69.8334
  110.952   _70.8425
  110.131   _71.8394
  109.295   _72.8224
  108.443   _73.7917
  107.575    _74.747
  106.691   _75.6871
   105.79   _76.6117
  104.873   _77.5199
   103.94   _78.4112
   102.99   _79.2855
  102.024   _80.1416
  101.042   _80.9792
  100.044   _81.7984
  99.0318   _82.5985
  98.0042   _83.3801
  96.9625   _84.1423
  95.9077   _84.8855
  94.8398   _85.6103
  93.7598   _86.3169
  92.6682   _87.0062
  91.5665   _87.6782
  90.4547   _88.3345
  89.3341   _88.9759
   88.206   _89.6027
  87.0707   _90.2169
  85.9286   _90.8185
  84.7753   _91.3984
  83.6109   _91.9558
  82.4363   _92.4918
  81.2529   _93.0073
  80.0612   _93.5031
  78.8613   _93.9803
  77.6547   _94.4393
  76.4418   _94.8808
  75.2226   _95.3054
  73.9978   _95.7139
  72.7677   _96.1065
  71.5333   _96.4835
  70.2942   _96.8454
  69.0512   _97.1927
  67.8039   _97.5255
  66.5529   _97.8442
     65.3   _98.1486
  64.0426   _98.4395
  62.7814   _98.7169
  61.5178   _98.9809
  60.2528   _99.2312
  58.9835   _99.4686
  57.7116   _99.6927
  56.4377   _99.9035
  55.1628   _100.101
  53.8855   _100.285
  52.6058   _100.456
  51.3239   _100.614
  50.0418   _100.758
  48.7573   _100.888
  47.4717   _101.004
  46.1848   _101.107
  44.8976   _101.195
  43.6083   _101.268
  42.3212   _101.325
  41.0322   _101.361
  39.7415    _101.38
  38.4505   _101.383
  37.1595   _101.369
  35.8697   _101.341
  34.5795   _101.299
  33.2899   _101.245
  32.0004   _101.177
  30.7124   _101.098
  29.4256   _101.007
  28.1389   _100.905
  26.8531   _100.792
  25.5683   _100.669
  24.2845   _100.536
   23.001   _100.393
  21.7192   _100.241
  20.4386   _100.078
  19.1593    _99.907
  17.8814   _99.7262
   16.605   _99.5364
  15.3296   _99.3372
  14.0558   _99.1291
  12.7834   _98.9118
  11.5126   _98.6854
  10.2441   _98.4499
  8.97674   _98.2051
  7.71161   _97.9509
  6.44559   _97.6866
  5.18342    _97.413
  3.92458   _97.1298
  2.66692   _96.8361
  1.41224   _96.5321
 0.160539   _96.2174
 _1.08843   _95.8916
 _2.33408   _95.5542
 _3.57688   _95.2045
 _4.81585   _94.8421
 _6.05145   _94.4662
